codigo_web,nome_completo_lente,linha,material,indice,blue,foto,marca_foto,esf_min,esf_max,cil_min,cil_max,design,diametro_mm,valor
3338,HV PRIME CR AR 1.56,HIGH VISION PRIME,CR,1.56,NAO,NAO,,-6.0,6.0,0.0,-2.0,ESF,65/70,13.0
3339,HV PRIME CR AR 1.56 CIL EXT,HIGH VISION PRIME,CR,1.56,NAO,NAO,,-6.0,5.0,0.0,-4.0,ESF,65/70,32.0
5341,HV PRIME CR AR 1.56 BLUE,HIGH VISION PRIME,CR,1.56,SIM,NAO,,-6.0,4.0,0.0,-2.0,ESF,65/70,22.0
5357,HV PRIME CR AR 1.56 BLUE CIL EXT,HIGH VISION PRIME,CR,1.56,SIM,NAO,,-4.0,4.0,0.0,-4.0,ESF,65/70,58.0
1374,HV PRIME CR AR FOTO,HIGH VISION PRIME,CR,1.56,NAO,SIM,FOTOCROMATICO,-4.0,4.0,0.0,-2.0,ESF,65/70,37.0
3997,HV PRIME CR AR FOTO CIL EXT,HIGH VISION PRIME,CR,1.56,NAO,SIM,FOTOCROMATICO,-4.0,4.0,0.0,-4.0,ESF,65/70,45.0
6512,HV PRIME CR AR FOTO BLUE,HIGH VISION PRIME,CR,1.56,SIM,SIM,FOTOCROMATICO,-6.0,4.0,0.0,-2.0,ESF,65/70,52.0
6513,HV PRIME CR AR FOTO BLUE CIL EXT,HIGH VISION PRIME,CR,1.56,SIM,SIM,FOTOCROMATICO,-4.0,4.0,0.0,-4.0,ESF,65/70,62.0
1508,HV PRIME POLI INCOLOR,HIGH VISION PRIME,POLI,1.59,NAO,NAO,,-6.0,6.0,0.0,-2.0,ESF,65/70,22.0
3292,HV PRIME POLI INCOLOR CIL EXT,HIGH VISION PRIME,POLI,1.59,NAO,NAO,,-6.0,4.0,0.0,-4.0,ESF,65/70,38.0
1509,HV PRIME POLI AR 1.59,HIGH VISION PRIME,POLI,1.59,NAO,NAO,,-6.0,6.0,0.0,-2.0,ESF,65/70,25.0
3293,HV PRIME POLI AR 1.59 CIL EXT,HIGH VISION PRIME,POLI,1.59,NAO,NAO,,-6.0,4.0,0.0,-4.0,ESF,65/70,43.0
6508,HV PRIME POLI AR 1.59 BLUE,HIGH VISION PRIME,POLI,1.59,SIM,NAO,,-6.0,6.0,0.0,-2.0,ESF,65/70,48.0
6509,HV PRIME POLI AR 1.59 BLUE CIL EXT,HIGH VISION PRIME,POLI,1.59,SIM,NAO,,-6.0,6.0,0.0,-4.0,ESF,65/70,58.0
6510,HV PRIME POLI AR FOTO 1.59,HIGH VISION PRIME,POLI,1.59,NAO,SIM,FOTOCROMATICO,-6.0,4.0,0.0,-2.0,ESF,65/70,85.0
6511,HV PRIME POLI AR FOTO 1.59 CIL EXT,HIGH VISION PRIME,POLI,1.59,NAO,SIM,FOTOCROMATICO,-4.0,4.0,0.0,-4.0,ESF,65/70,165.0
6840,HIGH VISION 1.61,HIGH VISION,ALTO_INDICE,1.61,,,,-11.0,11.0,0.0,-4.0,,70,220.0
6839,HIGH VISION 1.67,HIGH VISION,ALTO_INDICE,1.67,,,,-13.0,13.0,0.0,-4.0,,70,300.0
6842,HIGH VISION 1.74,HIGH VISION,ALTO_INDICE,1.74,,,,-15.0,13.0,0.0,-4.0,,75,640.0
