codigo_item,nome_completo_lente,linha,modelo,design,tecnologia,tipo,material,indice,blue_uv,foto,marca_foto,esf_min,esf_max,cil_min,cil_max,diametro_mm,GEN8,Easy,Rock,Sapphire,Unnamed: 21,Unnamed: 22,Unnamed: 23
1415,CRIZAL 1.50 TRANSITIONS S/ AR,CRIZAL,TRANSITIONS,VS,LENTE_PRONTA,VISAO_SIMPLES,1.50,1.50,NAO,SIM,TRANSITIONS GEN 8,,,,,70,249.00,,,,,,
1416,CRIZAL 1.50,CRIZAL,CRIZAL,VS,LENTE_PRONTA,VISAO_SIMPLES,1.50,1.50,NAO,NAO,,,,,,70,293.00,247.00,313.00,345.00,,,
,,,,,,,,,,,,,,,,,,,,,,,
codigo_item,nome_completo_lente,linha,modelo,design,tecnologia,tipo,material,indice,esf_min,esf_max,cil_min,cil_max,add_min,add_max,diametro_mm,Incolor,AR_SClean,SClean_Hidro,AR_BlueHidro,,,,
1101,HOYA ARGOS 1.50,HOYA,ARGOS,PROGRESSIVA,MULTIFOCAL,MULTIFOCAL,1.50,1.50,-4.00,4.00,-4.00,0.00,1.50,3.00,75,176.00,235.00,295.00,365.00,,,,
,,,,,,,,,,,,,,,,,,,,,,,
codigo_item,nome_completo_lente,linha,modelo,design,tecnologia,tipo,material,indice,foto,marca_foto,esf_min,esf_max,cil_min,cil_max,add_min,add_max,diametro_mm,Incolor,AR_SClean,SClean_Hidro,AR_BlueHidro,Crizal_Easy,
991,KODAK 1.50 ORMA,KODAK,ORMA,PROGRESSIVA,MULTIFOCAL,MULTIFOCAL,1.50,1.50,NAO,,-4.00,4.00,-4.00,0.00,1.00,3.00,75,198.00,257.00,317.00,397.00,397.00,
992,KODAK 1.50 ORMA TRANSITIONS,KODAK,ORMA,PROGRESSIVA,MULTIFOCAL,MULTIFOCAL,1.50,1.50,SIM,TRANSITIONS,-4.00,4.00,-4.00,0.00,1.00,3.00,75,398.00,428.00,488.00,568.00,568.00,
,,,,,,,,,,,,,,,,,,,,,,,
codigo_item,nome_completo_lente,linha,modelo,design,tecnologia,tipo,material,indice,foto,marca_foto,esf_min,esf_max,cil_min,cil_max,add_min,add_max,diametro_mm,Incolor,AR_SClean,SClean_Hidro,AR_BlueHidro,Crizal_Easy,
801,ESPACE 1.50 ORMA,ESPACE,ORMA,PROGRESSIVA,MULTIFOCAL,MULTIFOCAL,1.50,1.50,NAO,,-4.00,4.00,-4.00,0.00,1.00,3.00,70,69.00,134.00,194.00,274.00,294.00,
802,ESPACE 1.50 ORMA ACCLIMATES,ESPACE,ORMA,PROGRESSIVA,MULTIFOCAL,MULTIFOCAL,1.50,1.50,SIM,ACCLIMATES,-4.00,4.00,-4.00,0.00,1.00,3.00,70,216.00,275.00,335.00,415.00,435.00,
803,ESPACE 1.50 PLUS,ESPACE,PLUS,PROGRESSIVA,MULTIFOCAL,MULTIFOCAL,1.50,1.50,NAO,,-4.00,4.00,-4.00,0.00,1.00,3.00,70,146.00,205.00,265.00,345.00,365.00,
804,ESPACE 1.50 PLUS TRANSITIONS,ESPACE,PLUS,PROGRESSIVA,MULTIFOCAL,MULTIFOCAL,1.50,1.50,SIM,TRANSITIONS,-4.00,4.00,-4.00,0.00,1.00,3.00,70,377.00,436.00,496.00,576.00,596.00,
,,,,,,,,,,,,,,,,,,,,,,,
codigo_item,nome_completo_lente,linha,modelo,design,tecnologia,tipo,material,indice,blue_uv,foto,marca_foto,esf_min,esf_max,cil_min,cil_max,add_min,add_max,diametro_mm,Incolor,AR_SClean,SClean_Hidro,AR_BlueHidro,Crizal_Easy
710,VARILUX 1.50 LIBERTY,VARILUX,LIBERTY,PROGRESSIVA,MULTIFOCAL,MULTIFOCAL,1.50,1.50,NAO,NAO,,-4.00,4.00,-4.00,0.00,1.00,3.50,80,348.00,407.00,467.00,547.00,527.00
711,VARILUX 1.50 LIBERTY TRANSITIONS,VARILUX,LIBERTY,PROGRESSIVA,MULTIFOCAL,MULTIFOCAL,1.50,1.50,NAO,SIM,TRANSITIONS,-4.00,4.00,-4.00,0.00,1.00,3.50,80,837.00,896.00,956.00,1136.00,1156.00
712,VARILUX 1.50 COMFORT,VARILUX,COMFORT,PROGRESSIVA,MULTIFOCAL,MULTIFOCAL,1.50,1.50,NAO,NAO,,-4.00,4.00,-4.00,0.00,1.00,3.50,80,395.00,454.00,514.00,594.00,614.00
713,VARILUX 1.50 COMFORT TRANSITIONS,VARILUX,COMFORT,PROGRESSIVA,MULTIFOCAL,MULTIFOCAL,1.50,1.50,NAO,SIM,TRANSITIONS,-4.00,4.00,-4.00,0.00,1.00,3.50,80,848.00,907.00,967.00,1047.00,1067.00
